first_name,second_name,team,element_type,price,total_points,goals_scored,assists,clean_sheets,minutes,form,ict_index,goals_conceded,saves,bonus,selected_by_percent,points_per_game,expected_goals,expected_assists
David,Raya Martín,1,1,6.2,162,0,0,19,3330,5.2,57.5,26,60,11,36.4,4.4,0.00,0.07
Kepa,Arrizabalaga Revuelta,1,1,4.0,2,0,0,0,90,0.5,2.0,1,2,0,0.4,2.0,0.00,0.00
Karl,Hein,1,1,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.2,0.0,0.00,0.00
Tommy,Setford,1,1,3.9,0,0,0,0,0,0.0,0.0,0,0,0,0.2,0.0,0.00,0.00
Gabriel,dos Santos Magalhães,1,2,7.3,209,3,5,18,2750,6.0,125.0,20,0,30,45.4,6.5,2.94,1.75
William,Saliba,1,2,6.3,137,1,0,15,2614,4.8,84.3,20,0,12,17.1,4.4,0.88,1.21
Riccardo,Calafiori,1,2,5.6,109,1,2,13,1697,4.0,77.9,8,0,6,6.0,4.2,3.36,0.76
Jurriën,Timber,1,2,6.0,149,3,6,13,2452,0.0,125.7,20,0,9,15.2,5.0,4.71,1.53
Jakub,Kiwior,1,2,5.4,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Myles,Lewis-Skelly,1,2,5.0,29,0,0,2,697,3.8,17.6,8,0,0,1.9,1.4,0.10,0.20
Benjamin,White,1,2,5.1,45,0,1,5,699,1.8,34.3,6,0,3,0.5,3.8,0.45,0.69
Brayden,Clarke,1,2,3.7,0,0,0,0,0,0.0,0.0,0,0,0,0.5,0.0,0.00,0.00
Maldini,Kacurri,1,2,3.9,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Josh,Nichols,1,2,3.7,0,0,0,0,0,0.0,0.0,0,0,0,0.2,0.0,0.00,0.00
Bukayo,Saka,1,3,10.0,157,7,10,12,2218,5.8,230.6,16,0,18,11.6,5.1,7.57,7.16
Martin,Ødegaard,1,3,7.8,74,1,7,6,1363,1.8,104.4,13,0,5,1.7,3.1,1.25,3.65
Noni,Madueke,1,3,6.8,72,3,1,8,1205,3.2,101.3,9,0,9,0.8,2.8,1.23,2.86
Gabriel,Martinelli Silva,1,3,6.8,57,1,5,2,1065,2.0,79.0,8,0,3,0.9,1.9,4.12,1.27
Leandro,Trossard,1,3,6.6,119,6,6,11,1997,4.5,158.3,15,0,11,1.8,3.8,5.60,3.59
Declan,Rice,1,3,7.2,184,4,9,18,3093,3.2,215.4,25,0,23,23.3,5.1,3.15,7.32
Mikel,Merino Zazón,1,3,5.3,67,4,3,4,1024,0.2,73.6,10,0,5,0.7,3.0,3.36,1.45
Fábio,Ferreira Vieira,1,3,5.4,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Christian,Nørgaard,1,3,5.1,7,0,0,0,101,0.2,4.0,1,0,0,0.1,1.0,0.08,0.04
Ethan,Nwaneri,1,3,5.0,8,0,0,1,165,0.0,5.4,0,0,0,0.1,1.3,0.23,0.08
Martín,Zubimendi Ibáñez,1,3,4.9,133,5,1,16,2991,1.2,126.2,25,0,9,2.7,3.5,2.84,2.27
Ismeal,Kabia,1,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Albert,Sambi Lokonga,1,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Kai,Havertz,1,4,7.3,36,2,3,4,577,3.2,49.9,4,0,3,0.7,3.0,3.31,0.64
Gabriel,Fernando de Jesus,1,4,6.4,24,3,0,1,418,1.5,47.5,6,0,0,0.4,1.7,2.71,0.26
Eberechi,Eze,1,3,7.3,113,7,3,11,1885,2.5,115.1,14,0,8,8.7,3.4,5.18,2.66
Cristhian,Mosquera,1,2,5.3,40,0,0,3,986,2.8,32.9,8,0,1,0.3,2.0,0.10,0.63
Viktor,Gyökeres,1,4,9.1,128,14,1,12,2217,5.0,157.5,14,0,16,16.4,3.6,12.26,1.94
Max,Dowman,1,3,4.2,16,1,1,1,152,1.0,16.6,1,0,0,0.9,2.7,1.19,0.30
Andre,Harriman-Annous,1,3,4.4,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Piero,Hincapié,1,2,5.1,87,1,2,5,1787,0.8,70.9,19,0,7,0.9,3.5,0.36,1.67
Marli,Salmon,1,2,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Emiliano,Martínez Romero,2,1,5.0,120,0,1,7,2835,2.5,79.2,39,95,11,4.4,3.8,0.00,0.08
Marco,Bizot,2,1,4.2,16,0,0,1,585,0.5,13.9,10,19,0,0.4,2.3,0.00,0.00
Joe,Gauci,2,1,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Filip,Marschall,2,1,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Matty,Cash,2,2,4.6,117,3,3,8,3016,1.8,137.5,38,0,7,7.4,3.3,1.14,2.94
Lucas,Digne,2,2,4.5,97,0,7,7,1842,1.2,98.5,23,0,5,1.5,3.1,0.67,3.28
Ezri,Konsa Ngoyo,2,2,4.4,100,0,1,9,3035,0.5,84.0,44,0,3,7.0,2.9,1.27,0.59
Ian,Maatsen,2,2,4.2,54,0,1,2,1590,2.0,94.3,27,0,1,0.5,1.8,1.26,2.39
Tyrone,Mings,2,2,4.3,50,0,1,3,1322,1.2,46.8,23,0,4,0.6,2.9,1.30,0.42
Pau,Torres,2,2,4.3,64,0,2,5,1673,1.2,45.1,19,0,2,0.3,3.0,1.33,0.39
Andrés,García,2,2,3.9,5,0,0,0,83,0.2,2.3,3,0,0,0.2,0.8,0.00,0.01
Álex,Moreno Lopera,2,2,4.0,0,0,0,0,0,0.0,0.0,0,0,0,1.5,0.0,0.00,0.00
Lamare,Bogarde,2,2,4.0,40,0,0,2,1042,1.0,20.6,17,0,4,0.5,1.4,0.00,0.20
Lino,da Cruz Sousa,2,2,3.8,0,0,0,0,0,0.0,0.0,0,0,0,0.2,0.0,0.00,0.00
Yasin,Özcan,2,2,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
